codigo_ncm;partida;categoria
9503.00.21.000;9503;Juguetes (todos: muñecas, bloques, radio control)
9503.00.22.000;9503;Juguetes (todos: muñecas, bloques, radio control)
9503.00.31.000;9503;Juguetes (todos: muñecas, bloques, radio control)
9503.00.39.000;9503;Juguetes (todos: muñecas, bloques, radio control)
9503.00.50.000;9503;Juguetes (todos: muñecas, bloques, radio control)
9503.00.60.000;9503;Juguetes (todos: muñecas, bloques, radio control)
9503.00.80.000;9503;Juguetes (todos: muñecas, bloques, radio control)
9503.00.91.000;9503;Juguetes (todos: muñecas, bloques, radio control)
9503.00.97.000;9503;Juguetes (todos: muñecas, bloques, radio control)
9503.00.98.000;9503;Juguetes (todos: muñecas, bloques, radio control)
9503.00.99.000;9503;Juguetes (todos: muñecas, bloques, radio control)
9504.40.00.000;9504;Consolas y videojuegos; juegos de mesa
9504.50.00.100;9504;Consolas y videojuegos; juegos de mesa
9504.50.00.200;9504;Consolas y videojuegos; juegos de mesa
9504.50.00.300;9504;Consolas y videojuegos; juegos de mesa
9504.50.00.900;9504;Consolas y videojuegos; juegos de mesa
9504.90.90.000;9504;Consolas y videojuegos; juegos de mesa
9505.10.00.000;9505;Artículos de fiesta y navidad
9505.90.00.000;9505;Artículos de fiesta y navidad
9506.29.00.000;9506;Artículos de deporte, fitness, piscinas
9506.31.00.000;9506;Artículos de deporte, fitness, piscinas
9506.32.00.000;9506;Artículos de deporte, fitness, piscinas
9506.51.00.000;9506;Artículos de deporte, fitness, piscinas
9506.59.00.000;9506;Artículos de deporte, fitness, piscinas
9506.61.00.000;9506;Artículos de deporte, fitness, piscinas
9506.62.00.000;9506;Artículos de deporte, fitness, piscinas
9506.91.00.000;9506;Artículos de deporte, fitness, piscinas
9506.99.00.000;9506;Artículos de deporte, fitness, piscinas
9507.10.00.000;9507;Artículos de pesca (cañas, reels)
9507.20.00.000;9507;Artículos de pesca (cañas, reels)
9507.30.00.000;9507;Artículos de pesca (cañas, reels)
9603.29.00.000;9603;Cepillos y brochas
9608.10.00.000;9608;Bolígrafos
9608.20.00.000;9608;Bolígrafos
9608.40.00.000;9608;Bolígrafos
9608.60.00.000;9608;Bolígrafos
9609.10.00.000;9609;Lápices
9609.90.00.000;9609;Lápices
9613.10.00.000;9613;Encendedores
9613.20.00.000;9613;Encendedores
9615.90.00.000;9615;Peines y hebillas
9616.10.00.000;9616;Pulverizadores de perfume; borlas
9617.00.10.000;9617;Termos y vasos térmicos
9617.00.20.000;9617;Termos y vasos térmicos
